"email","Monday","Tuesday","Wednesday","Thursday","Friday","Saturday","Sunday"
"MyEmail@Umass.edu","10:50-11:50","12:40-13:40","08:30-09:30","11:20-12:20","17:30-18:30","12:10-13:10","14:00-15:00"
"YourEmail@umass.edu","17:20-18:20","13:40-14:40","08:30-09:30","14:30-15:30","08:40-09:40","11:40-12:40","14:00-15:00"
"OurEmail@Umass.edu","16:50-17:50","11:10-12:10","08:30-09:30","15:30-16:30","10:20-11:20","11:40-12:40","14:00-15:20"
"RandomEmail1@umass.edu","09:00-10:00","14:00-15:00","07:30-08:30","12:00-13:00","16:00-17:00","10:00-11:00","13:00-14:00"
"RandomEmail2@umass.edu","13:00-14:00","10:00-11:00","07:30-08:30","11:00-12:00","15:00-16:00","09:00-10:00","12:00-13:00"
"RandomEmail3@umass.edu","11:00-12:00","09:00-10:00","07:30-08:30","10:00-11:00","14:00-15:00","08:00-09:00","11:00-12:00"
"RandomEmail4@umass.edu","12:00-13:00","11:00-12:00","07:30-08:30","09:00-10:00","13:00-14:00","07:00-08:00","10:00-11:00"
"RandomEmail5@umass.edu","14:00-15:00","08:00-09:00","07:30-08:30","08:00-09:00","12:00-13:00","06:00-07:00","09:00-10:00"
"RandomEmail6@umass.edu","15:00-16:00","07:00-08:00","07:30-08:30","07:00-08:00","11:00-12:00","05:00-06:00","08:00-09:00"
"RandomEmail7@umass.edu","16:00-17:00","06:00-07:00","08:30-09:30","06:00-07:00","10:00-11:00","04:00-05:00","07:00-08:00"
"RandomEmail8@umass.edu","17:00-18:00","05:00-06:00","08:30-09:30","05:00-06:00","09:00-10:00","03:00-04:00","06:00-07:00"
"RandomEmail9@umass.edu","18:00-19:00","04:00-05:00","08:30-09:30","04:00-05:00","08:00-09:00","02:00-03:00","05:00-06:00"
"RandomEmail10@umass.edu","19:00-20:00","03:00-04:00","08:30-09:30","03:00-04:00","07:00-08:00","01:00-02:00","04:00-05:00"
"RandomEmail11@umass.edu","20:00-21:00","02:00-03:00","08:30-09:30","02:00-03:00","06:00-07:00","00:00-01:00","03:00-04:00"
"RandomEmail12@umass.edu","21:00-22:00","01:00-02:00","08:30-09:30","01:00-02:00","05:00-06:00","23:00-00:00","02:00-03:00"
"RandomEmail13@umass.edu","22:00-23:00","00:00-01:00","08:30-09:30","00:00-01:00","04:00-05:00","22:00-23:00","01:00-02:00"
"RandomEmail14@umass.edu","23:00-00:00","23:00-00:00","08:30-09:30","23:00-00:00","03:00-04:00","21:00-22:00","00:00-01:00"
"RandomEmail15@umass.edu","00:00-01:00","22:00-23:00","08:30-09:30","22:00-23:00","02:00-03:00","20:00-21:00","23:00-00:00"
"RandomEmail16@umass.edu","01:00-02:00","21:00-22:00","08:30-09:30","21:00-22:00","01:00-02:00","19:00-20:00","22:00-23:00"
"RandomEmail17@umass.edu","02:00-03:00","20:00-21:00","08:30-09:30","20:00-21:00","00:00-01:00","18:00-19:00","21:00-22:00"
"RandomEmail18@umass.edu","03:00-04:00","19:00-20:00","08:30-09:30","19:00-20:00","23:00-00:00","17:00-18:00","20:00-21:00"
"RandomEmail19@umass.edu","04:00-05:00","18:00-19:00","08:30-09:30","18:00-19:00","22:00-23:00","16:00-17:00","19:00-20:00"
"RandomEmail20@umass.edu","05:00-06:00","17:00-18:00","08:30-09:30","17:00-18:00","21:00-22:00","15:00-16:00","18:00-19:00"
"RandomEmail21@umass.edu","06:00-07:00","16:00-17:00","08:30-09:30","16:00-17:00","20:00-21:00","14:00-15:00","17:00-18:00"
"RandomEmail22@umass.edu","07:00-08:00","15:00-16:00","08:30-09:30","15:00-16:00","19:00-20:00","13:00-14:00","16:00-17:00"
"RandomEmail23@umass.edu","08:00-09:00","14:00-15:00","08:30-09:30","14:00-15:00","18:00-19:00","12:00-13:00","15:00-16:00"
"RandomEmail24@umass.edu","09:00-10:00","13:00-14:00","08:30-09:30","13:00-14:00","17:00-18:00","11:00-12:00","14:00-15:00"
"RandomEmail25@umass.edu","10:00-11:00","12:00-13:00","08:30-09:30","12:00-13:00","16:00-17:00","10:00-11:00","13:00-14:00"
"RandomEmail26@umass.edu","11:00-12:00","11:00-12:00","08:30-09:30","11:00-12:00","15:00-16:00","09:00-10:00","12:00-13:00"
"RandomEmail27@umass.edu","12:00-13:00","10:00-11:00","08:30-09:30","10:00-11:00","14:00-15:00","08:00-09:00","11:00-12:00"
"RandomEmail28@umass.edu","13:00-14:00","09:00-10:00","08:30-09:30","09:00-10:00","13:00-14:00","07:00-08:00","10:00-11:00"
"RandomEmail29@umass.edu","14:00-15:00","08:00-09:00","08:30-09:30","08:00-09:00","12:00-13:00","06:00-07:00","09:00-10:00"
"RandomEmail30@umass.edu","15:00-16:00","07:00-08:00","08:30-09:30","07:00-08:00","11:00-12:00","05:00-06:00","08:00-09:00"
