"email","First Preference","Second Preference","Third Preference"
"MyEmail@Umass.edu","Monday 10:50-11:50","Wednesday 08:30-09:30","Thursday 11:20-12:20"
"YourEmail@umass.edu","Monday 17:20-18:20","Thursday 08:30-09:30","Saturday 11:40-12:40"
"OurEmail@Umass.edu","Monday 16:50-17:50","Thursday 15:30-16:30","Saturday 11:40-12:40"
"Email1@umass.edu","Monday 09:00-10:00","Wednesday 14:00-15:00","Friday 12:00-13:00"
"Email2@umass.edu","Tuesday 11:00-12:00","Thursday 16:00-17:00","Saturday 09:00-10:00"
"Email3@umass.edu","Wednesday 13:30-14:30","Friday 10:30-11:30","Sunday 14:00-15:00"
"Email4@umass.edu","Thursday 15:00-16:00","Saturday 09:30-10:30","Sunday 11:30-12:30"
"Email5@umass.edu","Friday 08:00-09:00","Sunday 13:00-14:00","Monday 17:30-18:30"
"Email6@umass.edu","Saturday 10:00-11:00","Monday 14:30-15:30","Tuesday 16:30-17:30"
"Email7@umass.edu","Sunday 12:30-13:30","Tuesday 09:30-10:30","Wednesday 17:00-18:00"
"Email8@umass.edu","Monday 11:30-12:30","Wednesday 16:30-17:30","Friday 09:30-10:30"
"Email9@umass.edu","Tuesday 14:30-15:30","Thursday 11:30-12:30","Saturday 10:30-11:30"
"Email10@umass.edu","Wednesday 16:00-17:00","Friday 13:30-14:30","Sunday 09:30-10:30"
"Email11@umass.edu","Thursday 09:00-10:00","Saturday 14:00-15:00","Monday 16:30-17:30"
"Email12@umass.edu","Friday 11:00-12:00","Sunday 10:00-11:00","Tuesday 13:30-14:30"
"Email13@umass.edu","Saturday 13:30-14:30","Monday 09:30-10:30","Wednesday 16:00-17:00"
"Email14@umass.edu","Sunday 15:00-16:00","Tuesday 14:00-15:00","Thursday 09:30-10:30"
"Email15@umass.edu","Monday 08:30-09:30","Wednesday 17:00-18:00","Friday 11:30-12:30"
"Email16@umass.edu","Tuesday 10:30-11:30","Thursday 09:00-10:00","Saturday 14:30-15:30"
"Email17@umass.edu","Wednesday 12:00-13:00","Friday 16:00-17:00","Sunday 10:30-11:30"
"Email18@umass.edu","Thursday 13:30-14:30","Saturday 11:00-12:00","Monday 09:30-10:30"
"Email19@umass.edu","Friday 15:00-16:00","Sunday 09:00-10:00","Tuesday 14:30-15:30"
"Email20@umass.edu","Saturday 08:30-09:30","Monday 17:00-18:00","Wednesday 12:30-13:30"
"Email21@umass.edu","Sunday 10:00-11:00","Tuesday 16:30-17:30","Thursday 13:00-14:00"
"Email22@umass.edu","Monday 12:30-13:30","Wednesday 09:30-10:30","Friday 15:30-16:30"
"Email23@umass.edu","Tuesday 13:00-14:00","Thursday 17:00-18:00","Saturday 08:30-09:30"
"Email24@umass.edu","Wednesday 15:30-16:30","Friday 12:30-13:30","Sunday 15:30-16:30"
"Email25@umass.edu","Thursday 08:30-09:30","Saturday 13:00-14:00","Monday 11:00-12:00"
"Email26@umass.edu","Friday 10:00-11:00","Sunday 16:00-17:00","Tuesday 12:30-13:30"
"Email27@umass.edu","Saturday 12:30-13:30","Monday 08:30-09:30","Wednesday 15:00-16:00"
"Email28@umass.edu","Sunday 14:00-15:00","Tuesday 11:30-12:30","Thursday 08:30-09:30"
"Email29@umass.edu","Monday 09:30-10:30","Wednesday 14:30-15:30","Friday 16:00-17:00"
"Email30@umass.edu","Tuesday 11:30-12:30","Thursday 08:00-09:00","Saturday 13:30-14:30"
"Email31@umass.edu","Wednesday 14:00-15:00","Friday 11:00-12:00","Sunday 08:30-09:30"
"Email32@umass.edu","Thursday 16:30-17:30","Saturday 10:30-11:30","Monday 13:00-14:00"
"Email33@umass.edu","Friday 09:30-10:30","Sunday 14:30-15:30","Tuesday 11:00-12:00"
"Email34@umass.edu","Saturday 11:30-12:30","Monday 16:00-17:00","Wednesday 09:00-10:00"
"Email35@umass.edu","Sunday 13:00-14:00","Tuesday 09:00-10:00","Thursday 16:30-17:30"
"Email36@umass.edu","Monday 17:30-18:30","Wednesday 12:00-13:00","Friday 10:00-11:00"
"Email37@umass.edu","Tuesday 16:00-17:00","Thursday 13:30-14:30","Saturday 12:00-13:00"
"Email38@umass.edu","Wednesday 09:00-10:00","Friday 15:30-16:30","Sunday 11:00-12:00"
"Email39@umass.edu","Thursday 11:00-12:00","Saturday 08:30-09:30","Monday 14:00-15:00"
"Email40@umass.edu","Friday 13:00-14:00","Sunday 11:30-12:30","Tuesday 09:30-10:30"
"Email41@umass.edu","Saturday 14:30-15:30","Monday 10:00-11:00","Wednesday 13:30-14:30"
"Email42@umass.edu","Sunday 09:30-10:30","Tuesday 15:00-16:00","Thursday 12:30-13:30"
"Email43@umass.edu","Monday 16:30-17:30","Wednesday 11:00-12:00","Friday 08:30-09:30"
"Email44@umass.edu","Tuesday 14:00-15:00","Thursday 10:30-11:30","Saturday 15:00-16:00"
"Email45@umass.edu","Wednesday 17:30-18:30","Friday 09:00-10:00","Sunday 13:30-14:30"
"Email46@umass.edu","Thursday 09:30-10:30","Saturday 12:30-13:30","Monday 16:00-17:00"
"Email47@umass.edu","Friday 12:00-13:00","Sunday 15:00-16:00","Tuesday 10:30-11:30"
"Email48@umass.edu","Saturday 09:00-10:00","Monday 13:30-14:30","Wednesday 16:30-17:30"
"Email49@umass.edu","Sunday 11:30-12:30","Tuesday 08:30-09:30","Thursday 15:00-16:00"
"Email50@umass.edu","Monday 15:00-16:00","Wednesday 13:00-14:00","Friday 09:00-10:00"
"MyEmail@Umass.edu","Monday 10:50-11:50","Wednesday 08:30-09:30","Thursday 11:20-12:20"
"YourEmail@umass.edu","Monday 17:20-18:20","Thursday 08:30-09:30","Saturday 11:40-12:40"
"OurEmail@Umass.edu","Monday 16:50-17:50","Thursday 15:30-16:30","Saturday 11:40-12:40"
"Email1@umass.edu","Monday 09:00-10:00","Wednesday 14:00-15:00","Friday 12:00-13:00"
"Email2@umass.edu","Tuesday 11:00-12:00","Thursday 16:00-17:00","Saturday 09:00-10:00"
"Email3@umass.edu","Wednesday 13:30-14:30","Friday 10:30-11:30","Sunday 14:00-15:00"
"Email4@umass.edu","Thursday 15:00-16:00","Saturday 09:30-10:30","Sunday 11:30-12:30"
"Email5@umass.edu","Friday 08:00-09:00","Sunday 13:00-14:00","Monday 17:30-18:30"
"Email6@umass.edu","Saturday 10:00-11:00","Monday 14:30-15:30","Tuesday 16:30-17:30"
"Email7@umass.edu","Sunday 12:30-13:30","Tuesday 09:30-10:30","Wednesday 17:00-18:00"
"Email8@umass.edu","Monday 11:30-12:30","Wednesday 16:30-17:30","Friday 09:30-10:30"
"Email9@umass.edu","Tuesday 14:30-15:30","Thursday 11:30-12:30","Saturday 10:30-11:30"
"Email10@umass.edu","Wednesday 16:00-17:00","Friday 13:30-14:30","Sunday 09:30-10:30"
"Email11@umass.edu","Thursday 09:00-10:00","Saturday 14:00-15:00","Monday 16:30-17:30"
"Email12@umass.edu","Friday 11:00-12:00","Sunday 10:00-11:00","Tuesday 13:30-14:30"
"Email13@umass.edu","Saturday 13:30-14:30","Monday 09:30-10:30","Wednesday 16:00-17:00"
"Email14@umass.edu","Sunday 15:00-16:00","Tuesday 14:00-15:00","Thursday 09:30-10:30"
"Email15@umass.edu","Monday 08:30-09:30","Wednesday 17:00-18:00","Friday 11:30-12:30"
"Email16@umass.edu","Tuesday 10:30-11:30","Thursday 09:00-10:00","Saturday 14:30-15:30"
"Email17@umass.edu","Wednesday 12:00-13:00","Friday 16:00-17:00","Sunday 10:30-11:30"
"Email18@umass.edu","Thursday 13:30-14:30","Saturday 11:00-12:00","Monday 09:30-10:30"
"Email19@umass.edu","Friday 15:00-16:00","Sunday 09:00-10:00","Tuesday 14:30-15:30"
"Email20@umass.edu","Saturday 08:30-09:30","Monday 17:00-18:00","Wednesday 12:30-13:30"
"Email21@umass.edu","Sunday 10:00-11:00","Tuesday 16:30-17:30","Thursday 13:00-14:00"
"Email22@umass.edu","Monday 12:30-13:30","Wednesday 09:30-10:30","Friday 15:30-16:30"
"Email23@umass.edu","Tuesday 13:00-14:00","Thursday 17:00-18:00","Saturday 08:30-09:30"
"Email24@umass.edu","Wednesday 15:30-16:30","Friday 12:30-13:30","Sunday 15:30-16:30"
"Email25@umass.edu","Thursday 08:30-09:30","Saturday 13:00-14:00","Monday 11:00-12:00"
"Email26@umass.edu","Friday 10:00-11:00","Sunday 16:00-17:00","Tuesday 12:30-13:30"
"Email27@umass.edu","Saturday 12:30-13:30","Monday 08:30-09:30","Wednesday 15:00-16:00"
"Email28@umass.edu","Sunday 14:00-15:00","Tuesday 11:30-12:30","Thursday 08:30-09:30"
"Email29@umass.edu","Monday 09:30-10:30","Wednesday 14:30-15:30","Friday 16:00-17:00"
"Email30@umass.edu","Tuesday 11:30-12:30","Thursday 08:00-09:00","Saturday 13:30-14:30"
"Email31@umass.edu","Wednesday 14:00-15:00","Friday 11:00-12:00","Sunday 08:30-09:30"
"Email32@umass.edu","Thursday 16:30-17:30","Saturday 10:30-11:30","Monday 13:00-14:00"
"Email33@umass.edu","Friday 09:30-10:30","Sunday 14:30-15:30","Tuesday 11:00-12:00"
"Email34@umass.edu","Saturday 11:30-12:30","Monday 16:00-17:00","Wednesday 09:00-10:00"
"Email35@umass.edu","Sunday 13:00-14:00","Tuesday 09:00-10:00","Thursday 16:30-17:30"
"Email36@umass.edu","Monday 17:30-18:30","Wednesday 12:00-13:00","Friday 10:00-11:00"
"Email37@umass.edu","Tuesday 16:00-17:00","Thursday 13:30-14:30","Saturday 12:00-13:00"
"Email38@umass.edu","Wednesday 09:00-10:00","Friday 15:30-16:30","Sunday 11:00-12:00"
"Email39@umass.edu","Thursday 11:00-12:00","Saturday 08:30-09:30","Monday 14:00-15:00"
"Email40@umass.edu","Friday 13:00-14:00","Sunday 11:30-12:30","Tuesday 09:30-10:30"
"Email41@umass.edu","Saturday 14:30-15:30","Monday 10:00-11:00","Wednesday 13:30-14:30"
"Email42@umass.edu","Sunday 09:30-10:30","Tuesday 15:00-16:00","Thursday 12:30-13:30"
"Email43@umass.edu","Monday 16:30-17:30","Wednesday 11:00-12:00","Friday 08:30-09:30"
"Email44@umass.edu","Tuesday 14:00-15:00","Thursday 10:30-11:30","Saturday 15:00-16:00"
"Email45@umass.edu","Wednesday 17:30-18:30","Friday 09:00-10:00","Sunday 13:30-14:30"
"Email46@umass.edu","Thursday 09:30-10:30","Saturday 12:30-13:30","Monday 16:00-17:00"
"Email47@umass.edu","Friday 12:00-13:00","Sunday 15:00-16:00","Tuesday 10:30-11:30"
"Email48@umass.edu","Saturday 09:00-10:00","Monday 13:30-14:30","Wednesday 16:30-17:30"
"Email49@umass.edu","Sunday 11:30-12:30","Tuesday 08:30-09:30","Thursday 15:00-16:00"
"Email50@umass.edu","Monday 15:00-16:00","Wednesday 13:00-14:00","Friday 09:00-10:00"


